name,code,price,date
פסטרמה הודו ועוף הרמ,7290000534824,62.00,2025-01-01 06:19:54
חזה הודו צלוי ברביקי,7290000150277,76.00,2025-01-01 06:25:00
פסטרמה איטלקית עוף ט,7290000150352,76.00,2025-01-01 06:25:00
פסטרמה אמריקאית עוף,7290000151106,76.00,2025-01-01 06:25:08
נקניק סלמי תה ענק עו,7290000152608,42.00,2025-01-01 06:25:08
כתף בקר מפולפל עוף ט,7290000153698,90.00,2025-01-01 06:25:08
פסטרמה פולנית עוף טו,7290000155524,76.00,2025-01-01 06:25:08
ענב לבן,1553,28.90,2025-06-29 12:15:33
טורקי עלית 1 ק"ג,7290000176116,81.90,2025-07-02 02:51:21
עוף טוב צ'ונגו קראנצ,7290014747029,310.84,2020-11-15 18:11:13
מגבות נייר 6 גלילים,7290103704155,13.90,2025-06-09 19:16:56
חמאת בוטנים טבעית קל,7290111353550,15.20,2025-01-01 06:20:02
שישיית בירה בנדיקטינ,4052197000369,40.30,2025-01-01 06:20:07
שניצלונים ציפוי ציפס,7290018237922,21.90,2022-11-06 07:11:46
שעועית שלמה ירוקה עד,7290016572629,12.90,2025-01-20 13:10:10
שלישית שימורי עגבניו,3270190180982,15.90,2024-10-20 05:35:37
פלפלים מתוקים טינקרב,8130,0.01,2024-01-07 09:10:09
בנדיקטינר מארז בירה,4052197002806,38.40,2025-01-01 06:20:07
שבת קלין כריות קרצוף,7290013504746,7.80,2023-10-16 16:50:09
מאגדת טילון קורנטו 3,7290107647625,38.50,2025-06-10 05:35:34
פרש הום ג'ל לניקוי ו,7290108356793,14.20,2025-01-01 06:23:17
תפו"א ננסי למיקרוגל,8131,0.01,2024-01-07 09:10:09
אנג'ל לחם PRO מלא פר,7290020216953,21.90,2025-06-09 19:16:56
גבינת שמנת נפוליאון,7290116933078,17.40,2025-06-09 19:16:59
אסם פתיבר קוקיז בטעם,7290118425496,11.90,2025-06-09 19:17:10
עדשי שוקולד לאפיה 18,7290020238009,14.90,2024-12-23 10:10:09
איירווויק ספרי מנטרל,7290112006189,15.90,2025-01-15 16:55:35
שלישיה 99 קל' גלית ש,7290101114369,10.00,2024-03-28 15:53:39
כריות נוגט 686 גרם,7290116537351,29.90,2025-06-09 19:16:48
האופה - שימורי אפונה,7290019926061,9.00,2025-01-01 06:23:59
מגבונים פרשוואנס מאר,7290119500192,22.20,2025-01-01 06:20:35
גרעיני תירס מתוק ויל,7290117265604,8.90,2024-11-19 10:50:09
טחינה גולמית מעודנת,7290001216705,16.20,2025-01-01 06:21:58
קלינקס טישו אקסטרה ד,7290111346149,17.90,2025-01-20 17:30:17
צ'יטוס קראנצ' בטעם ש,7290112346087,5.20,2025-02-09 05:35:40
האגיס בייבי ספא מגבו,7290000186030,30.50,2025-01-01 06:20:44
GALA שעועית אדומה 40,7290012901973,10.00,2025-01-01 06:21:53
פסטרמה פרגית זוגלובק,7290109581385,22.20,2025-02-12 10:10:10
מרבה עוגיות עם זיגוג,8711513254089,13.20,2025-01-01 06:22:17
פיתות כוסמין לבן אנג,7290018500644,19.20,2025-01-01 06:22:31
קפה נמס בטעם אגוזי ל,7290119380459,25.90,2025-07-02 02:51:23
מנה חמה מק&ציז בטעם,7290118424871,9.90,2025-06-09 19:17:09
קבנוס עוף 125 גרם,7290001121658,16.20,2025-06-09 19:16:50
פיירי קפסולות למדיח,8700216237017,40.50,2025-01-01 06:22:48
משקה חלב נטול לקטוז,7290114313018,13.10,2025-06-09 19:16:36
שעועית לבנה 500 גרם,7290100704929,12.20,2025-01-01 06:21:59
אקסטרה טורטייה צ'יפס,7290002043621,9.00,2025-06-09 19:16:38
מרסס לניקוי ובישום א,7290108356830,15.20,2025-06-10 05:35:43
אודון של מסעדות  זוג,7290109581439,15.20,2025-04-23 10:00:41
סנובון סבון ג'ל לאסל,7290108358032,16.20,2025-06-09 19:17:03
ויליגר שלישיית פטריו,7290003526871,14.90,2025-05-13 10:10:12
