name, shufersal, carfur, victory, wolt
רוטב טבסקו 60 מ`ל, 12.90, 11.00, 10.80, ['13.50']
רוטב טבסקו ירוק 60 מ`ל, 12.90, 11.00, N/A, N/A
דגני פייבר וואן 555 גרם, 27.90, 27.50, 24.90, N/A
קראנצי שיבולת ושוקולד5יח, 21.90, 21.90, 14.90, ['18.90']
חטיף נייטשר וואלי דבש5יח, 21.90, 21.90, 14.90, ['17.50']
נייטשר וואלי מייפל 5יח, 21.90, 21.90, 14.90, ['18.90']
חט.נייטשר וואלי מעורב5יח, 21.90, N/A, 14.90, N/A
קרם קוקוס 250 מ`ל, 10.90, 11.90, 10.90, N/A
תערובת לעוגת שוקולד425גר, 21.90, 20.20, 18.90, N/A
תערובת לעוגת וניל 390גרם, 21.90, 20.20, N/A, N/A
רוטב דגים 300 מ`ל, 10.00, 10.00, N/A, N/A
ספיד סטיק ג`ל 24/7 כחול, 21.90, N/A, 20.90, N/A
ספיד סטיק ג`ל24/7- כתום, 21.90, N/A, 20.90, N/A
חמצוצים בטעם תות 100 גרם, 12.50, 12.20, N/A, N/A
רוטב ברביקיו חרדל ודבש, 15.90, 16.20, N/A, N/A
רוטב ברביקיו אוריגינל510, 15.90, 16.20, N/A, N/A
נייר גלגול, 5.00, N/A, N/A, ['7.90']
5 סכיני גילוח בלו2 לאשה, 18.50, N/A, 13.90, N/A
שוקולד אקסלנס קרמל100גרם, 19.90, 23.90, N/A, N/A
שוק.מריר לינדט 70% 100ג, 19.90, 23.90, N/A, N/A
שוק.מריר לינדט מנטה 100ג, 19.90, 23.90, N/A, N/A
שוקולד מריר לינדט מלח 10, 19.90, N/A, 22.90, N/A
שוק.מריר לינדט 90% 100ג, 19.90, 23.90, N/A, N/A
תחליב גוף וזלין 600 מ`ל, 25.90, N/A, 19.90, N/A
ויט קרם להסרת שיער 400מל, 29.90, N/A, N/A, ['42.50']
מותכת לה וואש קירי 32יח, 45.90, 45.50, N/A, N/A
לה וואש קירי מותכת 16יח, 27.90, 27.90, 26.90, N/A
מותכת לה וואש קירי 8 יח, 14.90, N/A, 13.90, N/A
גבינת בייבי בל 20*5 גרם, 24.90, 24.90, 22.90, N/A
שעועית ירוקה עדינה קפואה, 22.90, 22.20, N/A, N/A
שעועית ירוקה רחבה קפוא, 22.90, N/A, 21.20, N/A
איטריות אורז ומיצ`לי454ג, 11.00, 11.00, 9.90, N/A
שבבי אורז משולשים227 גרם, 9.00, N/A, 8.90, N/A
מ.ריח למדיח לימון1 פיניש, 21.90, N/A, 14.90, N/A
מיני קממבר איל דהפרנס125, 26.90, 26.90, N/A, N/A
חמאה רכה 250 גרם, 27.90, 27.90, N/A, N/A
מיץ לימון משומר 200 מ`ל, 8.90, 8.00, N/A, N/A
