name,code,price,date
חמאת קקאו יחידה,10181040009,46.50,2025-07-08 16:02
תחליב עיסוי לסימני מתיחה,10181040313,56.50,2025-07-08 16:02
חמאה לעיסוי הבטן לסימני,10181040764,61.50,2025-07-08 16:02
שמן טיפוח לגוף ולפנים יח,10181041587,61.50,2025-07-08 16:02
קרם חמאת קקאו למיצוק העו,10181140648,56.50,2025-07-08 16:02
תרסיס להיגיינת הידיים 59,18787111116,34.90,2025-07-08 16:02
סבון נוזלי פריחת הדובדבן,18787767160,55.50,2025-07-08 16:02
סבון נוזלי יסמין סנדלווד,18787780169,55.50,2025-07-08 16:02
סבון מוצק תפוז דר ברונר,18787787052,24.50,2025-07-08 16:02
סבון מוצק פריחת הדובדבן,18787791059,24.50,2025-07-08 16:02
סבון מוצק יסמין סנדלווד,18787792056,24.50,2025-07-08 16:02
סרום להבהרת כתמים50 מל,192333027226,486.00,2025-07-08 16:03
מויסטר סרג' 72 שעות 30 מ,192333042793,112.00,2025-07-08 16:03
מויסטר סרג 72שעות 50מל,192333042809,172.90,2025-07-08 16:03
מויסטר סרג' 100 שעות 30מ,192333066928,120.00,2025-07-08 16:03
מויסטר סרג' 100 שעות 50מ,192333066935,175.00,2025-07-08 16:03
איבן בטר קליניקל 10 מייק,192333077832,235.00,2025-07-08 16:03
איבן בטר קליניקל 28 מייק,192333077856,235.00,2025-07-08 16:03
איבן בטר קליניקל 40 מייק,192333077863,235.00,2025-07-08 16:03
איבן בטר קליניקל 52 מייק,192333077870,235.00,2025-07-08 16:03
איבן בטר קליניקל 56מייק,192333077887,235.00,2025-07-08 16:03
איבן בטר קליניקל 70מייק,192333077894,235.00,2025-07-08 16:03
איבן בטר קליניקל 74מייק,192333077900,235.00,2025-07-08 16:03
איבן בטר קליניקל 114מייק,192333077924,235.00,2025-07-08 16:03
תכשיר ניקוי ופילינג 150מ,192333081020,153.00,2025-07-08 16:03
מסקרה למראה דרמטי עמידה,192333101001,143.00,2025-07-08 16:03
סרום טיפולי קמטים30 מל,192333101674,399.00,2025-07-08 16:03
סרום טיפולי לקמטים50מל,192333101681,530.00,2025-07-08 16:03
קרם עיניים סמארט 15 מ"ל,192333102749,312.00,2025-07-08 16:03
סמארט קרם לחות עשיר 50 מ,192333125113,419.00,2025-07-08 16:03
סמארט קרם לחות  50 מ"ל,192333125120,419.00,2025-07-08 16:03
עיפרון גבות ללא חידוד יח,192333128671,143.00,2025-07-08 16:03
עיפרון גבות ללא חידוד יח,192333128695,143.00,2025-07-08 16:03
עיפרון גבות ללא חידוד יח,192333128701,143.00,2025-07-08 16:03
עיפרון גבות ללא חידוד יח,192333128718,143.00,2025-07-08 16:03
אייליינר נוזלי יח',192333129272,143.00,2025-07-08 16:03
קרם לחות סמארט אנטיאיגינ,192333144756,486.00,2025-07-08 16:03
מסיר איפור באלם פחם125מל,192333149119,184.00,2025-07-08 16:03
