name,code,price,date
פלפל יבש חריף/מתוק,121,11.90,2024/03/13 15:11
עוף טחון טרי  {קצביה]**,151,49.90,2022/09/05 17:54
דג בורי L טרי,284,54.90,2024/09/01 15:21
דג קרפיון מצונן טרי,289,29.90,2025/07/09 10:20
דג אמנון L טרי,302,39.90,2025/05/19 17:06
דג ברמונדי טרי,327,69.90,2025/05/20 22:07
דג פילה דניס טרי כ-120גר,332,19.90,2024/05/19 18:32
דג פילה מושט טרי כ-100גר,350,12.90,2023/11/29 16:50
גינגר תפזורת,353,39.90,2021/08/09 01:55
דג סלמון שלם טרי.,402,79.90,2025/07/09 10:13
דג פילה סלמון טרי,403,109.90,2023/08/28 16:10
פילה לברק כ120גר,492,19.90,2024/05/19 18:35
אבוקדו,505,22.90,2025/07/06 14:09
אבטיח,506,2.90,2025/06/30 12:42
אפרסק מובחר,507,12.90,2025/07/06 14:09
אגסים,510,13.90,2025/07/02 15:14
אננס,522,19.90,2024/04/16 14:20
בננה.,530,9.90,2025/07/06 14:22
לימון,535,9.90,2025/06/30 12:43
מלון,540,3.90,2025/07/06 16:56
מנגו,543,8.90,2025/07/06 14:09
משמש,544,18.90,2025/07/06 16:56
נקטרינה,545,11.90,2025/07/06 14:09
ענב אדום.,553,14.90,2025/07/06 14:09
ענבים לבן.,554,14.90,2025/07/06 14:22
קיווי,563,29.90,2025/07/06 14:09
שזיף אדום,566,19.90,2025/07/06 16:56
שזיף ירוק,568,19.90,2025/06/29 14:35
תפוז תבורי.,575,7.90,2025/07/06 14:10
תפוח סמיט ירוק,583,10.90,2024/12/05 14:30
תפוח חרמון,585,10.90,2025/06/29 14:35
תפוח גלה,588,11.90,2025/04/17 16:12
תפוח זהוב,590,10.90,2025/06/29 14:35
שקדים ירוק,591,12.90,2022/05/26 13:42
בצל יבש,605,2.90,2025/07/06 16:56
בצל אדום,606,4.90,2025/07/06 16:56
בטטה,612,8.90,2025/07/06 16:56
גזר ארוז,7290018825006,3.90,2025/07/06 16:56
דלורית,622,4.90,2025/07/06 16:56
חסה ערבית,623,4.90,2025/07/06 14:09
חציל,625,4.90,2025/07/06 16:56
תפוח גרנד,627,10.90,2025/06/29 14:35
ירק בתפזורת,629,4.90,2024/08/11 15:35
כרוב לבן,630,2.90,2025/06/30 12:42
כרוב אדום,633,3.90,2025/07/06 16:56
כרובית,635,9.90,2024/11/05 15:25
חסה אמריקאית,644,6.90,2025/05/15 13:53
מלפפון.,645,3.90,2025/07/06 14:09
סלק אדום,659,3.90,2025/07/06 16:56
עגבניה.,660,3.90,2025/07/06 14:22
עגבניה שרי תפזורת,661,19.90,2024/11/03 10:36
עגבניה תמר,7290108090338,4.90,2025/07/06 16:56
פלפל חריף ירוק,663,8.90,2025/07/06 16:56
פלפל כהה,665,7.90,2025/07/06 16:56
פלפל צהוב,666,7.90,2025/07/06 16:56
גמבה אדומה,667,6.90,2025/07/06 14:09
פלפל בהיר,669,7.90,2025/07/06 16:56
קישואים.,685,9.90,2025/07/06 16:56
קולורבי,687,6.90,2025/07/06 16:56
שום ארוז,689,7.90,2022/03/20 10:34
שורש פטרוזיליה,691,5.90,2025/07/06 14:09
